Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Local GST @ 18%,Output CGST @ 9%,Output SGST @ 9%
06-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1129,PSB2526/INV-1129,Being Sale of Goods - Accounted,6 Pr,,4825.70,5067.00 Dr,4825.70 Cr,241.30 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,704.76/Pr,1409.52,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
06-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1130,PSB2526/INV-1130,Being Sale of Goods - Accounted,7 Pr,,6127.60,6434.00 Dr,6127.60 Cr,306.40 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
06-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1131,PSB2526/INV-1131,Being Sale of Goods - Accounted,2 Pr,,1409.52,1480.00 Dr,1409.52 Cr,70.48 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
06-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1132,PSB2526/INV-1132,Being Sale of Goods - Accounted,1 Pr,,704.76,740.00 Dr,704.76 Cr,35.24 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
07-Oct-25,Walk-King Shoe Company,PSB2526/INV-1133,PSB2526/INV-1133,Being Sale of Goods - Accounted,1 Pr,,1476.00,1550.00 Dr,1476.00 Cr,73.80 Cr,0.20 Cr,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,
07-Oct-25,Walk-King Shoe Company,PSB2526/INV-1134,PSB2526/INV-1134,Being Sale of Goods - Accounted,9 Pr,,13038.00,13690.00 Dr,13038.00 Cr,651.90 Cr,0.10 Cr,,,,,
,Reebok Champion Shoe (Size 06 Y) - Black,,,,2 Pr,1353.00/Pr,2706.00,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,3 Pr,1476.00/Pr,4428.00,,,,,,,,,
,Reebok Champion Shoe (Size 11 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,
,Reebok Champion Shoe (Size 12 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1135,PSB2526/INV-1135,Being Sale of Goods - Accounted,28 Pr,,24293.28,25508.00 Dr,24293.28 Cr,1214.67 Cr,0.05 Cr,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,3 Pr,704.76/Pr,2114.28,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,4 Pr,867.62/Pr,3470.48,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,4 Pr,867.62/Pr,3470.48,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,5 Pr,921.90/Pr,4609.50,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,2 Pr,921.90/Pr,1843.80,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,3 Pr,921.90/Pr,2765.70,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1136,PSB2526/INV-1136,Being Sale of Goods - Accounted,31 Pr,,23638.98,24821.00 Dr,23638.98 Cr,1181.95 Cr,0.07 Cr,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,21 Pr,704.76/Pr,14799.96,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,6 Pr,921.90/Pr,5531.40,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1137,PSB2526/INV-1137,Being Sale of Goods - Accounted,9 Pr,,7537.14,7914.00 Dr,7537.14 Cr,376.86 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,3 Pr,867.62/Pr,2602.86,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1138,PSB2526/INV-1138,Being Sale of Goods - Accounted,25 Pr,,20604.74,21635.00 Dr,20604.74 Cr,1030.22 Cr,0.04 Cr,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,3 Pr,704.76/Pr,2114.28,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,3 Pr,704.76/Pr,2114.28,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,3 Pr,867.62/Pr,2602.86,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,3 Pr,867.62/Pr,2602.86,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,3 Pr,867.62/Pr,2602.86,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,4 Pr,867.62/Pr,3470.48,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,2 Pr,921.90/Pr,1843.80,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,2 Pr,921.90/Pr,1843.80,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1139,PSB2526/INV-1139,Being Sale of Goods - Accounted,6 Pr,,5097.14,5352.00 Dr,5097.14 Cr,254.86 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1140,PSB2526/INV-1140,Being Sale of Goods - Accounted,2 Pr,,1735.24,1822.00 Dr,1735.24 Cr,86.76 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
08-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1141,PSB2526/INV-1141,Being Sale of Goods - Accounted,5 Pr,,3505.00,3680.00 Dr,3505.00 Cr,175.25 Cr,0.25 Dr,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,2 Pr,701.00/Pr,1402.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,2 Pr,701.00/Pr,1402.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,
08-Oct-25,The Yenepoya School,PSB2526/INV-1142,PSB2526/INV-1142,Being Sale of Goods - Accounted,220 Pr,,326075.60,342379.00 Dr,326075.60 Cr,,0.42 Dr,8151.91 Cr,8151.91 Cr,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,10 Pr,1141.90/Pr,11419.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,20 Pr,1427.62/Pr,28552.40,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,20 Pr,1427.62/Pr,28552.40,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,20 Pr,1427.62/Pr,28552.40,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,20 Pr,1427.62/Pr,28552.40,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,20 Pr,1541.90/Pr,30838.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,20 Pr,1541.90/Pr,30838.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,20 Pr,1541.90/Pr,30838.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,20 Pr,1541.90/Pr,30838.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,20 Pr,1541.90/Pr,30838.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,10 Pr,1541.90/Pr,15419.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,10 Pr,1541.90/Pr,15419.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,10 Pr,1541.90/Pr,15419.00,,,,,,,,,
09-Oct-25,"DAC'S INC .,",PSB2526/INV-1143,PSB2526/INV-1143,Being Sale of Goods - Accounted,6 Pr,,6912.00,7258.00 Dr,6912.00 Cr,,0.40 Cr,172.80 Cr,172.80 Cr,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,2 Pr,960.00/Pr,1920.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,2 Pr,1200.00/Pr,2400.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,
09-Oct-25,HITESH CREATIONS (J P NAGAR),PSB2526/INV-1144,PSB2526/INV-1144,Being Sale of Goods - Accounted,1 Pr,,968.00,1136.00 Dr,968.00 Cr,,0.39 Dr,24.20 Cr,24.20 Cr,101.69 Cr,9.15 Cr,9.15 Cr
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,968.00/Pr,968.00,,,,,,,,,
09-Oct-25,HITESH CREATIONS,PSB2526/INV-1145,PSB2526/INV-1145,Being Sale of Goods - Accounted,2 Pr,,2699.00,3034.00 Dr,2699.00 Cr,,0.05 Cr,67.48 Cr,67.48 Cr,169.49 Cr,15.25 Cr,15.25 Cr
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1349.50/Pr,1349.50,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1349.50/Pr,1349.50,,,,,,,,,
09-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1146,PSB2526/INV-1146,Being Sale of Goods - Accounted,8 Pr,,5608.00,5888.00 Dr,5608.00 Cr,280.40 Cr,0.40 Dr,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,6 Pr,701.00/Pr,4206.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,
09-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1147,PSB2526/INV-1147,Being Sale of Goods - Accounted,1 Pr,,900.00,945.00 Dr,900.00 Cr,45.00 Cr,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
10-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1148,PSB2526/INV-1148,Being Sale of Goods - Accounted,5 Pr,,4500.00,4725.00 Dr,4500.00 Cr,225.00 Cr,,,,,,
,Plaeto Nova School Shoes (Size 07 C) - Black,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,2 Pr,900.00/Pr,1800.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,2 Pr,900.00/Pr,1800.00,,,,,,,,,
10-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1149,PSB2526/INV-1149,Being Sale of Goods - Accounted,1 Pr,,900.00,945.00 Dr,900.00 Cr,45.00 Cr,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
10-Oct-25,D S APPARELS,PSB2526/INV-1150,PSB2526/INV-1150,Being Sale of Goods - Accounted,2 Pr,,1819.64,1911.00 Dr,1819.64 Cr,,0.38 Cr,45.49 Cr,45.49 Cr,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,2 Pr,909.82/Pr,1819.64,,,,,,,,,
11-Oct-25,Samaikya Edu Services Pvt Ltd,PSB2526/INV-1151,PSB2526/INV-1151,Being Sale of Goods - Accounted,3 Pr,,4559.04,4787.00 Dr,4559.04 Cr,227.96 Cr,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1465.71/Pr,1465.71,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1465.71/Pr,1465.71,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1627.62/Pr,1627.62,,,,,,,,,
11-Oct-25,"DAC'S INC .,",PSB2526/INV-1152,PSB2526/INV-1152,Being Sale of Goods - Accounted,18 Pr,,23086.00,24240.00 Dr,23086.00 Cr,,0.30 Dr,577.15 Cr,577.15 Cr,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,2 Pr,1110.00/Pr,2220.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,3 Pr,1110.00/Pr,3330.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,2 Pr,1300.00/Pr,2600.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,3 Pr,1300.00/Pr,3900.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,2 Pr,1300.00/Pr,2600.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,2 Pr,1406.00/Pr,2812.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,2 Pr,1406.00/Pr,2812.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,2 Pr,1406.00/Pr,2812.00,,,,,,,,,
