Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 18%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 5%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 18%,Shipping Local GST @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
01-Aug-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-897,PSB25-26/INV-897,Being Sale of Goods - Accounted,106 Pr,,125100.00,147618.00 Dr,125100.00 Cr,22518.00 Cr,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,10 Pr,1125.00/Pr,11250.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,11 Pr,1125.00/Pr,12375.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,12 Pr,1125.00/Pr,13500.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,8 Pr,1125.00/Pr,9000.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,14 Pr,1215.00/Pr,17010.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,15 Pr,1215.00/Pr,18225.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,12 Pr,1215.00/Pr,14580.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,12 Pr,1215.00/Pr,14580.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,12 Pr,1215.00/Pr,14580.00,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-898,PSB25-26/INV-898,Being Sale of Goods - Accounted,34 Pr,,39690.00,46834.00 Dr,39690.00 Cr,7144.20 Cr,0.20 Dr,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,6 Pr,1125.00/Pr,6750.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,6 Pr,1125.00/Pr,6750.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,6 Pr,1125.00/Pr,6750.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,6 Pr,1215.00/Pr,7290.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,6 Pr,1215.00/Pr,7290.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,4 Pr,1215.00/Pr,4860.00,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-899,PSB25-26/INV-899,Being Sale of Goods - Accounted,1 Pr,,1215.00,1434.00 Dr,1215.00 Cr,218.70 Cr,0.30 Cr,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1215.00/Pr,1215.00,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-25,Nalanda Gurukula International Public School,PSB25-26/INV-900,PSB25-26/INV-900,Being Sale of Goods - Accounted,9 Pr,,13025.43,15370.00 Dr,13025.43 Cr,,0.01 Dr,1172.29 Cr,1172.29 Cr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1398.31/Pr,2796.62,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,3 Pr,1398.31/Pr,4194.93,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,3 Pr,1508.47/Pr,4525.41,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,1 Pr,1508.47/Pr,1508.47,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-25,Walk-King Shoe Company,PSB25-26/INV-901,PSB25-26/INV-901,Being Sale of Goods - Accounted,1 Pr,,1107.00,1306.00 Dr,1107.00 Cr,199.26 Cr,0.26 Dr,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1107.00/Pr,1107.00,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-25,Emmaus Swiss High School,PSB25-26/INV-902,PSB25-26/INV-902,Being Sale of Goods - Accounted,3 Pr,,3.00,3.00 Dr,3.00 Cr,,0.36 Dr,,,0.36 Cr,,,,,,,,,,,,,,,,,
,Plaeto Pu Sneakers (10UK) White,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Prithvi Sneakers (10UK) Green,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Agni Sneakers (10UK) Red,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-25,Sharanya Narayani International School,PSB25-26/INV-903,PSB25-26/INV-903,Being Sale of Goods - Accounted,47 Pr,,71197.61,84013.00 Dr,71197.61 Cr,,0.13 Dr,6407.76 Cr,6407.76 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,1 Pr,1372.03/Pr,1372.03,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1372.03/Pr,1372.03,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,6 Pr,1524.58/Pr,9147.48,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,3 Pr,1524.58/Pr,4573.74,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,8 Pr,1524.58/Pr,12196.64,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,2 Pr,1524.58/Pr,3049.16,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - Black,,,,2 Pr,1524.58/Pr,3049.16,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - White,,,,1 Pr,1372.03/Pr,1372.03,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - White,,,,6 Pr,1524.58/Pr,9147.48,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - White,,,,3 Pr,1524.58/Pr,4573.74,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - White,,,,8 Pr,1524.58/Pr,12196.64,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - White,,,,2 Pr,1524.58/Pr,3049.16,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - White,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - White,,,,2 Pr,1524.58/Pr,3049.16,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-904,PSB25-26/INV-904,Being Sale of Goods - Accounted,41 Pr,,32127.61,35983.00 Dr,32127.61 Cr,,0.09 Cr,,,3855.30 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,11 Pr,660.71/Pr,7267.81,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,10 Pr,813.39/Pr,8133.90,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,6 Pr,813.39/Pr,4880.34,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,3 Pr,813.39/Pr,2440.17,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,3 Pr,864.29/Pr,2592.87,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,3 Pr,864.29/Pr,2592.87,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,3 Pr,864.29/Pr,2592.87,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-905,PSB25-26/INV-905,Being Sale of Goods - Accounted,4 Pr,,3202.68,3587.00 Dr,3202.68 Cr,,0.01 Dr,,,384.33 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-906,PSB25-26/INV-906,Being Sale of Goods - Accounted,11 Pr,,8031.21,8995.00 Dr,8031.21 Cr,,0.02 Cr,,,963.77 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,3 Pr,813.39/Pr,2440.17,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-907,PSB25-26/INV-907,Being Sale of Goods - Accounted,18 Pr,,14335.70,16056.00 Dr,14335.70 Cr,,0.02 Cr,,,1720.28 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,3 Pr,660.71/Pr,1982.13,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,4 Pr,813.39/Pr,3253.56,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,3 Pr,864.29/Pr,2592.87,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-25,NYAS SERVICES,PSB25-26/INV-908,PSB25-26/INV-908,Being Sale of Goods - Accounted,4 Pr,,5759.32,6796.00 Dr,5759.32 Cr,1036.68 Cr,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,2 Pr,1439.83/Pr,2879.66,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1439.83/Pr,1439.83,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1439.83/Pr,1439.83,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-25,Mr. Soman,PSB25-26/INV-909,PSB25-26/INV-909,Being Sale of Goods - Accounted,1 Pr,,1099.15,1297.00 Dr,1099.15 Cr,,0.01 Cr,98.92 Cr,98.92 Cr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1099.15/Pr,1099.15,,,,,,,,,,,,,,,,,,,,,,,,
05-Aug-25,RAKHRA THE SPORTS HOUSE,PSB25-26/INV-910,PSB25-26/INV-910,Being Sale of Goods - Accounted,19 Pr,,18423.16,20634.00 Dr,18423.16 Cr,,0.06 Cr,,,,1105.39 Cr,1105.39 Cr,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,19 Pr,969.64/Pr,18423.16,,,,,,,,,,,,,,,,,,,,,,,,
05-Aug-25,H AND M ENTERPRISES (DPS),PSB25-26/INV-911,PSB25-26/INV-911,Being Sale of Goods - Accounted,11 Pr,,13144.12,15510.00 Dr,13144.12 Cr,,0.06 Dr,1182.97 Cr,1182.97 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,11 Pr,1194.92/Pr,13144.12,,,,,,,,,,,,,,,,,,,,,,,,
05-Aug-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-912,PSB25-26/INV-912,Being Sale of Goods - Accounted,46 Pr,,36958.04,41393.00 Dr,36958.04 Cr,,0.02 Cr,,,4434.94 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,3 Pr,660.71/Pr,1982.13,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,3 Pr,660.71/Pr,1982.13,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,8 Pr,813.39/Pr,6507.12,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,3 Pr,813.39/Pr,2440.17,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,3 Pr,864.29/Pr,2592.87,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,7 Pr,864.29/Pr,6050.03,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,5 Pr,864.29/Pr,4321.45,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,,,
05-Aug-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-913,PSB25-26/INV-913,Being Sale of Goods - Accounted,16 Pr,,12352.66,13835.00 Dr,12352.66 Cr,,0.02 Cr,,,1482.32 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,3 Pr,660.71/Pr,1982.13,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,3 Pr,813.39/Pr,2440.17,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,,,,
06-Aug-25,Unipro (S),PSB25-26/INV-914,PSB25-26/INV-914,Being Sale of Goods - Accounted,15 Pr,,19980.00,23576.00 Dr,19980.00 Cr,,0.40 Dr,1798.20 Cr,1798.20 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - White,,,,2 Pr,1215.00/Pr,2430.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - White,,,,4 Pr,1350.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - White,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,,,
06-Aug-25,Walk-King Shoe Company,PSB25-26/INV-915,PSB25-26/INV-915,Being Sale of Goods - Accounted,150 Pr,,183885.00,216984.00 Dr,183885.00 Cr,33099.30 Cr,0.30 Dr,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,5 Pr,1107.00/Pr,5535.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,15 Pr,1230.00/Pr,18450.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,10 Pr,1230.00/Pr,12300.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,15 Pr,1230.00/Pr,18450.00,,,,,,,,,,,,,,,,,,,,,,155058.00 Cr,589.00 Cr,65081.00 Cr
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,15 Pr,1230.00/Pr,18450.00,,,,,,,,,,,,,,,,,,,,,,155058.00 Cr,589.00 Cr,65081.00 Cr
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,40 Pr,1230.00/Pr,49200.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - Black,,,,50 Pr,1230.00/Pr,61500.00,,,,,,,,,,,,,,,,,,,,,,,,
