Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 18%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 5%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 18%,Shipping Local GST @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
06-Aug-25,Walk-King Shoe Company,PSB25-26/INV-916,PSB25-26/INV-916,Being Sale of Goods - Accounted,5 Pr,,7380.00,8708.00 Dr,7380.00 Cr,1328.40 Cr,0.40 Dr,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 11 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,,,,,,,,,,,,,,,,
06-Aug-25,ETERNAL TRADING CO,PSB25-26/INV-917,PSB25-26/INV-917,Being Sale of Goods - Accounted,47 Pr,,35625.00,39900.00 Dr,35625.00 Cr,,,,,4275.00 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,3 Pr,675.00/Pr,2025.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,8 Pr,675.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,7 Pr,675.00/Pr,4725.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,8 Pr,675.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,4 Pr,831.00/Pr,3324.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,5 Pr,831.00/Pr,4155.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,5 Pr,883.00/Pr,4415.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,883.00/Pr,883.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,2 Pr,883.00/Pr,1766.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,4 Pr,883.00/Pr,3532.00,,,,,,,,,,,,,,,,,,,,,,,,
07-Aug-25,Gubbacci Apparel Pvt Ltd,PSB25-26/INV-918,PSB25-26/INV-918,Being Sale of Goods - Accounted,208 Pr,,141033.42,157957.00 Dr,141033.42 Cr,,0.46 Dr,,,,8462.02 Cr,8462.02 Cr,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 10 K) - Black,,,,15 Pr,654.46/Pr,9816.90,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 11 K) - Black,,,,2 Pr,654.46/Pr,1308.92,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 12 K) - Black,,,,6 Pr,654.46/Pr,3926.76,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 13 K) - Black,,,,10 Pr,654.46/Pr,6544.60,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 02 UK) - Black,,,,8 Pr,654.46/Pr,5235.68,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 03 UK) - Black,,,,5 Pr,654.46/Pr,3272.30,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 04 UK) - Black,,,,15 Pr,654.46/Pr,9816.90,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 05 UK) - Black,,,,13 Pr,654.46/Pr,8507.98,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 06 UK) - Black,,,,28 Pr,691.07/Pr,19349.96,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 07 UK) - Black,,,,23 Pr,691.07/Pr,15894.61,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 08 UK) - Black,,,,13 Pr,691.07/Pr,8983.91,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 09 UK) - Black,,,,12 Pr,691.07/Pr,8292.84,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 10 UK) - Black,,,,25 Pr,691.07/Pr,17276.75,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 11 UK) - Black,,,,27 Pr,691.07/Pr,18658.89,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 12 UK) - Black,,,,6 Pr,691.07/Pr,4146.42,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug-25,GoScholar,PSB25-26/INV-919,PSB25-26/INV-919,Being Sale of Goods - Accounted,12 Pr,,15168.00,17898.00 Dr,15168.00 Cr,2730.24 Cr,0.24 Dr,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1200.00/Pr,1200.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1200.00/Pr,2400.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1200.00/Pr,1200.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug-25,GoScholar,PSB25-26/INV-920,PSB25-26/INV-920,Being Sale of Goods - Accounted,4 Pr,,3166.00,3546.00 Dr,3166.00 Cr,,0.08 Cr,,,379.92 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,686.00/Pr,1372.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,897.00/Pr,897.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,897.00/Pr,897.00,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug-25,Gubbacci Apparel Pvt Ltd,PSB25-26/INV-921,PSB25-26/INV-921,Being Sale of Goods - Accounted,150 Pr,,206976.00,244232.00 Dr,206976.00 Cr,,0.32 Cr,18627.84 Cr,18627.84 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,5 Pr,1323.00/Pr,6615.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,3 Pr,1323.00/Pr,3969.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,11 Pr,1323.00/Pr,14553.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,5 Pr,1323.00/Pr,6615.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,20 Pr,1323.00/Pr,26460.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,20 Pr,1323.00/Pr,26460.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,8 Pr,1323.00/Pr,10584.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,5 Pr,1323.00/Pr,6615.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,5 Pr,1323.00/Pr,6615.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,5 Pr,1323.00/Pr,6615.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,5 Pr,1323.00/Pr,6615.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,10 Pr,1470.00/Pr,14700.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,4 Pr,1470.00/Pr,5880.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,8 Pr,1470.00/Pr,11760.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,8 Pr,1470.00/Pr,11760.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,8 Pr,1470.00/Pr,11760.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,5 Pr,1470.00/Pr,7350.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - Black,,,,12 Pr,1470.00/Pr,17640.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 14 US) - Black,,,,3 Pr,1470.00/Pr,4410.00,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug-25,Gubbacci Apparel Pvt Ltd,PSB25-26/INV-922,PSB25-26/INV-922,Being Sale of Goods - Accounted,27 Pr,,35721.00,42151.00 Dr,35721.00 Cr,,0.22 Cr,3214.89 Cr,3214.89 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,9 Pr,1323.00/Pr,11907.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,10 Pr,1323.00/Pr,13230.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,8 Pr,1323.00/Pr,10584.00,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug-25,The Landmark School,PSB25-26/INV-923,PSB25-26/INV-923,Being Sale of Goods - Accounted,6 Pr,,8299.98,9794.00 Dr,8299.98 Cr,,0.04 Cr,746.99 Cr,746.99 Cr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,1083.90/Pr,1083.90,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1355.08/Pr,1355.08,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1465.25/Pr,1465.25,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1465.25/Pr,1465.25,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1465.25/Pr,1465.25,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,1 Pr,1465.25/Pr,1465.25,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug-25,Delhi Public School - Whitefield,PSB25-26/INV-924,PSB25-26/INV-924,Being Sale of Goods - Accounted,4 Pr,,7216.93,8516.00 Dr,7216.93 Cr,,0.01 Cr,649.53 Cr,649.53 Cr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1651.69/Pr,1651.69,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1855.08/Pr,1855.08,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1855.08/Pr,1855.08,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1855.08/Pr,1855.08,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-25,Walk-King Shoe Company,PSB25-26/INV-925,PSB25-26/INV-925,Being Sale of Goods - Accounted,12 Pr,,16851.00,19884.00 Dr,16851.00 Cr,3033.18 Cr,0.18 Dr,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 06 Y) - Black,,,,7 Pr,1353.00/Pr,9471.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,3 Pr,1476.00/Pr,4428.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-25,"Miners Pocket Books Pvt Ltd.,",PSB25-26/INV-926,PSB25-26/INV-926,Being Sale of Goods - Accounted,67 Pr,,13147.33,15925.00 Dr,13147.33 Cr,,,,,1706.24 Cr,,,1071.43 Cr,,,,,,,,,,,,,,
,Paragon Sandals (Size 8 K),,,,6 Pr,193.75/Pr,1162.50,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 9 K),,,,14 Pr,193.75/Pr,2712.50,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 10 K),,,,25 Pr,193.75/Pr,4843.75,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 11 K),,,,16 Pr,193.75/Pr,3100.00,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 12 K),,,,3 Pr,221.43/Pr,664.29,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 13 K),,,,1 Pr,221.43/Pr,221.43,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 1 B),,,,2 Pr,221.43/Pr,442.86,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-25,"Miners Pocket Books Pvt Ltd.,",PSB25-26/INV-927,PSB25-26/INV-927,Being Sale of Goods - Accounted,34 Pr,,6864.30,8288.00 Dr,6864.30 Cr,,0.02 Dr,,,888.01 Cr,,,535.71 Cr,,,,,,,,,,,,,,
,Paragon Sandals (Size 8 K),,,,1 Pr,193.75/Pr,193.75,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 9 K),,,,3 Pr,193.75/Pr,581.25,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 10 K),,,,7 Pr,193.75/Pr,1356.25,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 11 K),,,,13 Pr,193.75/Pr,2518.75,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 12 K),,,,6 Pr,221.43/Pr,1328.58,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 13 K),,,,4 Pr,221.43/Pr,885.72,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-25,"Miners Pocket Books Pvt Ltd.,",PSB25-26/INV-928,PSB25-26/INV-928,Being Sale of Goods - Accounted,25 Pr,,5037.51,6242.00 Dr,5037.51 Cr,,0.01 Dr,,,668.79 Cr,,,535.71 Cr,,,,,,,,,,,,,,
,Paragon Sandals (Size 9 K),,,,3 Pr,193.75/Pr,581.25,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 10 K),,,,7 Pr,193.75/Pr,1356.25,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 11 K),,,,8 Pr,193.75/Pr,1550.00,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 12 K),,,,5 Pr,221.43/Pr,1107.15,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 13 K),,,,2 Pr,221.43/Pr,442.86,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-25,"Miners Pocket Books Pvt Ltd.,",PSB25-26/INV-929,PSB25-26/INV-929,Being Sale of Goods - Accounted,38 Pr,,7611.62,9125.00 Dr,7611.62 Cr,,,,,977.67 Cr,,,,535.71 Cr,,,,,,,,,,,,,
,Paragon Sandals (Size 8 K),,,,3 Pr,193.75/Pr,581.25,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 9 K),,,,6 Pr,193.75/Pr,1162.50,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 10 K),,,,7 Pr,193.75/Pr,1356.25,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 11 K),,,,13 Pr,193.75/Pr,2518.75,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 12 K),,,,8 Pr,221.43/Pr,1771.44,,,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 13 K),,,,1 Pr,221.43/Pr,221.43,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-25,RAKHRA THE SPORTS HOUSE,PSB25-26/INV-930,PSB25-26/INV-930,Being Sale of Goods - Accounted,3 Pr,,2685.00,3007.00 Dr,2685.00 Cr,,0.20 Dr,,,,161.10 Cr,161.10 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - White,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - White,,,,2 Pr,895.00/Pr,1790.00,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-25,RAKHRA THE SPORTS HOUSE,PSB25-26/INV-931,PSB25-26/INV-931,Being Sale of Goods - Accounted,9 Pr,,10569.92,12298.00 Dr,10569.92 Cr,,0.02 Cr,689.49 Cr,689.49 Cr,,174.54 Cr,174.54 Cr,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,1 Pr,969.64/Pr,969.64,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,1 Pr,969.64/Pr,969.64,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,969.64/Pr,969.64,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1211.86/Pr,2423.72,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,3 Pr,1309.32/Pr,3927.96,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,1 Pr,1309.32/Pr,1309.32,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug-25,COD - Brigade J.P.Nagar ***,PSB25-26/INV-932,PSB25-26/INV-932,Being Sale of Goods - Accounted,10 Pr,,10.00,11.00 Dr,10.00 Cr,,0.20 Dr,,,,0.60 Cr,0.60 Cr,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 11 UK) - Navy Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 08 UK) - Navy Black,,,,4 Pr,1.00/Pr,4.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 05 UK) - Beige Blue,,,,2 Pr,1.00/Pr,2.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 06 UK) - Beige Blue,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 09 UK) - Navy Black,,,,2 Pr,1.00/Pr,2.00,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug-25,COD - Brigade Mahadevapura ***,PSB25-26/INV-933,PSB25-26/INV-933,Being Sale of Goods - Accounted,8 Pr,,8.00,9.00 Dr,8.00 Cr,,0.04 Cr,,,,0.48 Cr,0.48 Cr,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 10 UK) - Navy Black,,,,2 Pr,1.00/Pr,2.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 11 UK) - Navy Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 09 UK) - Navy Black,,,,2 Pr,1.00/Pr,2.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 05 UK) - Beige Blue,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 06 UK) - Beige Blue,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 08 UK) - Beige Blue,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug-25,COD - Brigade Malleshwaram***,PSB25-26/INV-934,PSB25-26/INV-934,Being Sale of Goods - Accounted,10 Pr,,10.00,11.00 Dr,10.00 Cr,,0.20 Dr,,,,0.60 Cr,0.60 Cr,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 11 UK) - Navy Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 07 UK) - Navy Black,,,,2 Pr,1.00/Pr,2.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 08 UK) - Navy Black,,,,3 Pr,1.00/Pr,3.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 09 UK) - Navy Black,,,,3 Pr,1.00/Pr,3.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Block 5 Shoes (Size 07 UK) - Beige Blue,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,,
